Evaluation/StdReturn,Evaluation/MaxReturn,TotalEnvSteps,Evaluation/TerminationRate,Evaluation/Iteration,Evaluation/AverageDiscountedReturn,Evaluation/AverageReturn,Evaluation/MinReturn,Evaluation/NumEpisodes
15.546744723655621,128.67944718558246,4006,1.0,0,47.27550491631078,48.423086446650224,26.758751150611754,749
15.818368960600068,110.36163012648362,8007,1.0,1,49.434184844001926,50.6945924541233,26.822794183644064,715
17.520209017549337,156.83417494208277,12011,1.0,2,49.5294927647726,50.82435098412907,26.75536550414553,714
16.88868667941965,129.22748932686503,16014,1.0,3,51.86010112876695,53.26592427158773,26.73762507628175,682
17.337260735644005,119.44616666315164,20015,1.0,4,51.04469129721325,52.41591698029603,26.764409824167736,692
19.14364060310419,165.84274912394613,24016,1.0,5,54.062233962566125,55.63365330271604,26.76816813671394,653
19.563814615075522,147.65144354387888,28019,1.0,6,54.66031157407578,56.274073685070306,26.830634873811952,646
19.92519013142348,138.18852405370595,32019,1.0,7,55.92015638016577,57.61459661628604,26.79833402630232,631
20.491005529194656,156.80222652376582,36023,1.0,8,55.344991471924324,57.018170547121905,26.856261363253342,638
18.93913670024036,128.8671538000332,40032,1.0,9,55.26697976603323,56.903374925598996,26.81644779775818,640
18.182338154775767,128.977796806997,44036,1.0,10,56.356235354677686,58.04164766023279,26.80481435260031,627
18.74883750819898,156.72912673492596,48036,1.0,11,55.39625662466491,57.0362682903645,26.86432633284841,637
20.30526625988479,156.89545918862197,52038,1.0,12,56.93004611124737,58.693022598683406,26.80790841473844,620
20.989962930164115,165.87092810616167,56040,1.0,13,57.54367389562705,59.35827749172513,26.805238035091826,613
21.00952803339692,166.11924702780706,60044,1.0,14,58.74331256620412,60.63213018426684,26.791774774215,601
19.63994078559282,147.10250667206307,64049,1.0,15,57.89841516719687,59.70683675818281,26.79093221946697,610
20.37017773305642,156.71995686439521,68053,1.0,16,61.04811919343453,63.070324472601484,26.80562074463555,578
21.677105970514738,193.60391177422605,72057,1.0,17,60.30296303794638,62.30532752765771,26.834073713888287,585
20.95232164871799,175.41199118635393,76060,1.0,18,60.514000978267724,62.5137944881565,26.879094683475717,583
20.00704302630674,137.92940921816094,80062,1.0,19,61.905857853498134,63.9763507472246,26.87297355604042,570
22.484756362740978,220.57193402307274,84073,1.0,20,62.84248366895757,65.0310104830523,26.77310744707993,562
22.215342593056278,175.84301924352448,88075,1.0,21,63.17665830418835,65.38142961520947,26.860497651181973,558
23.456223317346236,194.95111549942004,92075,1.0,22,63.00154962961484,65.2236342459917,26.82721534146108,559
21.91978677939179,165.84220535014006,96079,1.0,23,64.70810885840481,67.01081891810234,26.884109526653234,545
20.749827126987864,157.10398984747206,100079,1.0,24,64.64263578115174,66.91462625346364,26.889121296841637,545
23.648603419866618,175.8594702189535,104082,1.0,25,66.8109165290868,69.30474355653476,26.84491032982494,527
23.939037363753172,193.20578027667133,108087,1.0,26,65.50370162932892,67.91064772607118,26.86718396307819,538
22.9243178332641,166.86186890707512,112091,1.0,27,66.86668586889024,69.34650024209934,26.81598346908988,527
24.435795768568283,184.36648758349432,116094,1.0,28,66.8191880239664,69.33317330976173,26.837583966604086,527
21.435975807370934,193.82884873643454,120098,1.0,29,65.92406080943967,68.30041525876247,26.95041791257369,535
23.123311984152387,184.73619728741494,124104,1.0,30,67.92359779889671,70.48443693124315,26.93271848449084,519
25.046588150122187,194.64079334888194,128107,1.0,31,69.3994676772447,72.11903171204754,26.907748970297696,507
23.12985471832456,203.69334320008937,132111,1.0,32,68.93353810969758,71.56872181487542,26.925119453023434,511
25.037465137708633,203.69740313670374,136111,1.0,33,70.45449828869342,73.25353679429236,26.85107247448134,499
26.243244326427707,212.50808611262272,140113,1.0,34,70.57397369099537,73.41559834397944,26.790551694139758,498
23.22649196706847,176.1762445071847,144127,1.0,35,70.74121796530673,73.51702089488717,26.91348863899995,499
23.91114705649956,176.03271541746756,148136,1.0,36,70.23557919583843,72.98997135311808,26.88910503598292,502
24.527009570662422,183.9589146440336,152138,1.0,37,72.79252350573,75.76205884948507,35.60011539718244,483
23.91938769949284,183.17655904739846,156139,1.0,38,71.77557674424737,74.6495765202851,26.798235853418106,490
25.103814805032968,174.8295558219265,160145,1.0,39,74.67865640439668,77.81548402842124,26.782170111906282,471
25.844485108595542,176.08634540546228,164148,1.0,40,74.91199350040537,78.08761582433245,35.49551609437442,469
24.729698295332245,203.48725640908978,168152,1.0,41,76.43822238689958,79.7096297661383,35.491923824094755,460
24.43134729748429,193.5811026082828,172158,1.0,42,76.14424210728032,79.38464457899435,26.858716320440216,462
23.32272368274976,201.94304249009056,176160,1.0,43,74.6770874719881,77.76730329845084,26.944967027509538,471
25.34390845247009,193.01459690792785,180161,1.0,44,75.70407799107939,78.93049457950337,35.6328765728245,464
25.965471064961843,222.39427707175116,184166,1.0,45,78.41205021630151,81.8863528368616,26.813887103716546,448
