Evaluation/NumEpisodes,Evaluation/StdReturn,Evaluation/MinReturn,Evaluation/AverageDiscountedReturn,Evaluation/MaxReturn,Evaluation/AverageReturn,TotalEnvSteps,Evaluation/Iteration,Evaluation/TerminationRate
736,16.777224003939875,26.807686466623377,48.074173931207675,175.76652333053374,49.28172413669522,4005,0,1.0
696,15.94455073172019,26.81022142623013,50.843160545300215,119.4322369370395,52.17892551794298,8010,1,1.0
688,18.824715116756444,26.793115517901406,51.30437056185933,166.45928050093576,52.71720236960683,12010,2,1.0
678,17.430710803667523,26.755055840797752,52.12945155627634,128.8530554571443,53.560290085327146,16012,3,1.0
685,17.34354325782656,26.828048686943855,51.67592801112154,138.8633880668238,53.08064944428324,20021,4,1.0
673,18.11448766978146,26.795334299072145,52.54319641524574,128.98067095567296,54.00929104149823,24025,5,1.0
648,19.559234609350355,26.812607454231657,54.505617599013114,147.07604464006553,56.11005143072042,28027,6,1.0
638,20.484508520611715,26.8235729112464,55.349018584389555,165.5312495768783,57.02208810102997,32032,7,1.0
635,18.99213477503409,26.831748784673643,55.549233577244706,146.87505765819282,57.2034182627784,36032,8,1.0
639,18.56298850785993,26.798528233228403,55.2753979997336,129.15887265401096,56.905076358737006,40035,9,1.0
624,19.381554095751017,26.766882849046883,56.55848097876871,129.35572534600837,58.279700233521304,44036,10,1.0
636,20.843151271422506,26.83613128838045,55.48889818818809,166.13533803769,57.178136392320646,48038,11,1.0
609,19.700828692804627,26.827424747937894,57.912926443484814,165.79246635850834,59.72279749909931,52038,12,1.0
595,21.373808354759856,26.80557288467606,59.32571574139043,165.0668363980273,61.25950271465198,56043,13,1.0
570,21.744130153154643,26.804873629124458,61.80378584595047,157.12435373165584,63.90637371307486,60043,14,1.0
581,21.931284218048866,26.884275421379755,60.664631440997624,203.96467149637544,62.696824813260974,64046,15,1.0
560,22.429168959011076,26.789239252467638,63.006693468609384,157.26144504997342,65.20544799619645,68053,16,1.0
554,21.46816173723715,26.780654536714998,63.691366214104484,138.29650543868652,65.91426325163205,72059,17,1.0
550,21.787078933347132,26.893028361341564,64.09075330987274,157.56192062184525,66.34847131472097,76062,18,1.0
527,23.67264263014098,35.34353258600246,66.8401715500959,202.18048342260312,69.33612897666868,80067,19,1.0
519,23.583998990632196,35.41001672666368,67.87455644317745,194.37358409238433,70.4434569359137,84071,20,1.0
529,21.850438164726143,26.89308849586173,66.70984967472134,147.86040779159407,69.1529669295318,88079,21,1.0
528,22.416265021960534,26.85835785121752,66.7076360024263,157.51508229092897,69.16380802491764,92080,22,1.0
516,22.941949042578567,26.828216094542114,68.27110569197349,184.36671562401705,70.85321246959357,96083,23,1.0
512,23.63736115865015,35.44191618296317,68.75723249466488,203.79679327775614,71.39369108625633,100086,24,1.0
501,23.45278120659175,35.47327607325302,70.2560277119753,184.92217102203065,73.00067912100762,104088,25,1.0
493,23.707846687064094,35.375961209320764,71.33470217023878,231.2194326045675,74.16777757125743,108089,26,1.0
485,24.29349171341398,26.902684708525843,72.5212780235961,230.7726403281729,75.46255685593538,112091,27,1.0
483,26.33644159258836,27.012520412372087,72.78219657483231,212.996193605302,75.79804622007191,116095,28,1.0
475,25.691758328087488,26.902524444062784,74.09249467139131,239.47557844925333,77.1957307829521,120102,29,1.0
467,25.307298170426204,35.619640915904434,75.28801626305294,203.32971362212982,78.47980927933469,124106,30,1.0
465,26.590853048345632,35.537366736635306,75.53579129634912,248.65096981762932,78.78194519492756,128108,31,1.0
459,26.45155027699035,35.52504685072902,76.5201490491778,194.45957487501562,79.84660833571057,132111,32,1.0
447,27.166499201322758,35.59134841175097,78.46891312543315,259.5135239754404,81.97948526538924,136111,33,1.0
452,26.88404576638277,35.614207600092456,77.69141013540973,239.95968789029993,81.12843302167393,140115,34,1.0
459,26.49462159915402,35.370145943449685,76.65072086699678,230.23014114593582,79.98793200254607,144125,35,1.0
459,25.228609660016524,26.923815206697856,76.48847904364314,193.77170405076583,79.77882553243428,148125,36,1.0
453,25.503075239863673,35.56712163530085,77.51839641803817,183.691067020127,80.90392507589772,152127,37,1.0
456,23.5206917711189,35.48217198483134,77.09811829481183,184.70345677812065,80.39479000782117,156129,38,1.0
442,26.580811119790127,26.814734064763158,79.50221201982045,211.18313388750232,83.08725409084221,160136,39,1.0
440,26.17211469411106,35.43192629695953,79.83884711969819,257.1923363900424,83.44185849742617,164141,40,1.0
433,27.15781684438381,35.385091504010056,81.05303305842706,276.8744778758991,84.79113042324286,168145,41,1.0
446,25.79282772139434,35.52098125549724,78.79671645560025,203.65596170875872,82.29913466399687,172151,42,1.0
436,26.642938176812315,26.75969865048807,80.46507218274341,240.26310197633973,84.13672796634604,176152,43,1.0
444,24.777298402810363,35.455355005919756,79.10828730347222,200.6947052160042,82.6115803821269,180154,44,1.0
424,28.01773227575683,35.62170775285044,82.75696116239405,193.93679778536318,86.6785567678659,184162,45,1.0
424,26.86722678316395,35.61627369893773,82.78591740298086,230.18312324797978,86.67552002883266,188169,46,1.0
427,26.171346935770014,35.7571069818097,82.31937076809093,230.9524695280567,86.14383198852852,192177,47,1.0
418,28.668021876496056,35.60717001146797,83.76752915923872,230.42582050831078,87.80075815104453,196178,48,1.0
420,27.024977411477312,35.58700231093182,83.58374140512396,211.20907039653736,87.55066248054833,200185,49,1.0
419,26.82450137325012,35.804515232990994,83.77242656144378,231.16021241839516,87.75215765216649,204193,50,1.0
421,25.235822723284237,35.446177737431114,83.37402477323877,194.24592573405909,87.27229183009402,208197,51,1.0
408,27.032684806166184,35.882866778959915,85.85123376984848,211.29412247438674,90.03384670828838,212198,52,1.0
401,31.564038333552585,44.77343759328179,87.14143115350775,250.05683074053798,91.58774911911159,216198,53,1.0
410,27.71119022970843,35.68273535855482,85.51389177597618,203.92065337500148,89.68249358692843,220203,54,1.0
398,28.603549760723084,44.49046014799137,87.98676937906693,231.64142350106516,92.42306574607582,224208,55,1.0
385,31.710947124537977,44.814775957884386,90.8061979296407,258.77535956161904,95.62319782243384,228214,56,1.0
397,27.520058051113814,44.81862175303868,88.30920018425081,220.31241825145037,92.74535515543121,232222,57,1.0
392,28.39273502668016,44.664098286684116,89.24888323415149,239.38369693189372,93.80489281818598,236225,58,1.0
380,28.353630809280077,35.56216445617254,91.93309589088143,222.0086636009916,96.76277480709035,240225,59,1.0
383,29.747986697827766,35.92874799158361,91.20636183053706,221.6044803447013,96.00379236629935,244226,60,1.0
386,28.47147573547267,54.042040195914765,90.60052748297814,220.93080643492752,95.296234524717,248229,61,1.0
382,28.721480636773865,44.45510032696358,91.66222190294327,212.793618980634,96.47318079176588,252237,62,1.0
387,28.623931403825463,54.10615819688658,90.37322700216382,211.25761149588877,95.04965286706533,256240,63,1.0
381,29.12224858494575,44.93432320003653,91.87055812463596,222.02710102603896,96.71607549847033,260248,64,1.0
389,28.97990882749757,44.994859248754544,90.00428955294343,231.64714100539706,94.65489894595903,264255,65,1.0
381,30.90048067474488,36.08098850482941,91.81325233647253,230.68414306274553,96.71170528085348,268266,66,1.0
395,28.003434513492877,54.20599966857296,88.63255070293185,249.43856142632134,93.11449136536453,272270,67,1.0
387,26.93522071604184,35.88180534788179,90.44152072136842,230.41345388806394,95.07556906073255,276274,68,1.0
381,30.552761079798973,35.972676821555055,91.70536391805113,304.69268682122697,96.57457902247036,280276,69,1.0
378,32.112565912642005,44.70891657914339,92.30637501740189,250.082913865883,97.29253245435484,284277,70,1.0
384,26.014839510433305,44.966664642945396,91.21881556928564,192.55435273931076,95.909219071915,288285,71,1.0
385,29.9657534111347,44.78592300237004,90.70598700878728,213.2533676101192,95.45929904471113,292285,72,1.0
371,32.04202505994409,44.87528962834649,94.12303626606183,267.04630125963996,99.29947062657442,296292,73,1.0
363,33.73784595638548,45.191963644791464,95.94338317671703,284.995714126396,101.3764742951091,300295,74,1.0
376,31.355030352280053,53.824669957941765,92.92499287813708,239.8448382660731,97.9552794560017,304303,75,1.0
