Evaluation/StdReturn,Evaluation/MaxReturn,Evaluation/AverageDiscountedReturn,TotalEnvSteps,Evaluation/TerminationRate,Evaluation/AverageReturn,Evaluation/NumEpisodes,Evaluation/Iteration,Evaluation/MinReturn
15.295095675860441,119.87456268030209,47.96145372142307,4000,1.0,49.13886139256876,737,0,26.771326966875485
15.749499668960832,110.66771559900486,48.8359718233799,8001,1.0,50.0646867126989,724,1,26.75304357556353
17.007677180054838,128.8180714673689,50.01173389910414,12005,1.0,51.322549939362524,707,2,26.782361140953608
16.914445828905095,128.89474347995767,50.98005839802497,16012,1.0,52.339840236138976,694,3,26.760961948222267
18.09760151940784,128.30313712474307,52.26622414070081,20019,1.0,53.716752198203984,677,4,26.752180680942637
18.816328756552455,147.38318064546326,53.73404843503001,24019,1.0,55.27981813388413,657,5,26.73276035430795
19.63868075491165,156.03542629609674,55.13920402095471,28019,1.0,56.78211443323717,640,6,26.7931627554292
20.397818996507276,165.87913031299715,57.07143475473406,32019,1.0,58.84450010048728,618,7,26.795790450662196
20.696953384292765,166.47017607475968,58.45345710972409,36025,1.0,60.31782406227967,604,8,26.794897154545968
20.42112804475919,156.64698014000868,57.98926711398922,40031,1.0,59.819135441811206,609,9,26.892296037941797
21.782741740514346,148.06514242686862,61.4940481195381,44031,1.0,63.57690237832643,573,10,26.836337085175238
21.436944863445436,184.45323672493998,60.73299246526784,48035,1.0,62.75816571770984,581,11,26.82494339149971
22.6295585307286,148.1717719478395,62.601038660647404,52038,1.0,64.77712121400242,563,12,26.863799858804512
