Evaluation/NumEpisodes,Evaluation/MinReturn,Evaluation/AverageReturn,Evaluation/Iteration,Evaluation/TerminationRate,TotalEnvSteps,Evaluation/StdReturn,Evaluation/MaxReturn,Evaluation/AverageDiscountedReturn
736,26.779186403667616,49.211134180589845,0,1.0,4000,15.326421384394768,119.6786110402616,48.029895263046676
718,26.812552062606585,50.47921368923574,1,1.0,8001,15.642019187336459,138.14249930103622,49.23241721178591
695,26.778495869518665,52.18983255808052,2,1.0,12001,18.062554949337038,183.36732563256678,50.81798254146562
693,26.832129207632565,52.39572579679375,3,1.0,16005,17.439090726877083,156.70120046988845,51.0242755258527
677,26.7693213197417,53.6036870701209,4,1.0,20005,17.41660827638412,128.85543069248936,52.170834498866114
658,26.77657134131148,55.22395082156701,5,1.0,24007,18.39502241250161,147.23275586409343,53.68849376046892
650,26.819150246504243,56.00666438058243,6,1.0,28016,19.85941358686452,193.55181301136065,54.40170849805797
626,26.85124339071904,58.175366974729734,7,1.0,32022,19.849155738621107,147.73253145756465,56.45095863172341
621,26.842354966786615,58.63968742843727,8,1.0,36029,19.73401723828482,156.1384711406573,56.89048153585498
603,26.852579044440073,60.37439279035821,9,1.0,40031,19.951822431085336,138.36655732221797,58.5212982311409
581,26.891501422712942,62.720904901892546,10,1.0,44033,19.95559687131394,128.7283251829476,60.72796409927095
571,26.80012994384795,63.80930768935746,11,1.0,48034,22.16967381530338,174.66030624610505,61.70348585849338
