Evaluation/AverageReturn,Evaluation/MinReturn,Evaluation/NumEpisodes,TotalEnvSteps,Evaluation/AverageDiscountedReturn,Evaluation/Iteration,Evaluation/StdReturn,Evaluation/TerminationRate,Evaluation/MaxReturn
47.78137728082844,26.777789486184865,758,4003,46.66931881786971,0,15.13073950815275,1.0,119.237851262625
50.656134088650305,26.826384273115888,716,8006,49.39503394818887,1,15.990932053977827,1.0,119.12045823144489
54.51265407721803,26.73422546751518,666,12006,52.99595031063222,2,19.41618877415193,1.0,157.13626732060624
55.22949227012106,26.800135307791642,659,16013,53.70089580709442,3,18.045266281270106,1.0,138.9074173886979
55.91178057757261,26.81132807945533,651,20021,54.335310564367475,4,18.623831393579593,1.0,147.52498190066865
57.66242550617188,26.848221674614457,631,24023,55.95027603539391,5,20.665960043352342,1.0,156.80251193269635
59.39055558053557,26.810765322903684,613,28025,57.584042023367026,6,20.501999944600925,1.0,156.43270820447754
60.623339381555866,26.832677584292735,601,32029,58.75111880024325,7,20.198914441988155,1.0,146.97257370719365
60.91696789147419,26.8008579606655,598,36033,59.02502124318584,8,20.30583232409276,1.0,129.5458474462299
61.888677572647744,26.84278343365243,589,40039,59.9149789609151,9,21.457199043830574,1.0,175.13706898376844
64.53550463647937,26.83349728384514,565,44041,62.37599552002497,10,22.566211426077615,1.0,157.06989826714394
65.07521263482148,26.898304793995756,561,48047,62.875330860889484,11,22.86053009728572,1.0,183.02227306115557
66.81792782634433,26.793795149003344,546,52050,64.53003091051225,12,21.76012100470394,1.0,147.97193591115652
