Evaluation/AverageDiscountedReturn,Evaluation/MinReturn,Evaluation/StdReturn,Evaluation/MaxReturn,Evaluation/NumEpisodes,Evaluation/TerminationRate,Evaluation/Iteration,TotalEnvSteps,Evaluation/AverageReturn
47.429721606732855,26.805854017774607,14.387305350418867,110.4913457923836,746,1.0,0,4003,48.56685965742216
76.7369779787703,35.57152958391048,27.836419499654646,203.07146576466565,458,1.0,1,8012,80.12136343096206
83.5281606553715,45.297642474851,25.187943591583856,212.70501958048806,420,1.0,2,12012,87.43821203109577
85.77829607213098,54.30532067355,24.384474391683316,202.85258307842088,409,1.0,3,16014,89.88050860178846
86.80614801373282,54.850716489912735,25.131225655483103,220.6571466558949,404,1.0,4,20017,91.02788193074443
85.87666051200056,54.85214418256207,21.722894735439827,194.3593900181175,409,1.0,5,24021,89.92397264098075
83.85988677574984,54.81320720296061,23.44457185217787,211.39267742189543,419,1.0,6,28026,87.75714845430399
79.55577796104761,54.78095532814946,21.046674292137887,222.07197012925866,442,1.0,7,32026,83.00640534086178
78.59064418548283,54.82159649902113,22.005026972304794,239.44110439388592,448,1.0,8,36031,81.97790221337485
74.98794530276847,54.72563269277183,16.49050458051374,193.85648070393574,470,1.0,9,40031,77.96064287493347
73.22150249694938,54.67609179918807,14.14651267569727,202.13040996318205,482,1.0,10,44034,76.01359066195725
70.81578531453854,54.70220499478805,11.126495634556049,138.3142389143897,499,1.0,11,48036,73.37847927199383
69.98305784903191,54.85506275247487,8.844873252653995,101.42306405844978,505,1.0,12,52036,72.45776334945268
69.23037839576592,54.65082594670349,8.097708907979774,101.03347760146846,511,1.0,13,56040,71.64201337777101
68.87857538164889,54.445854373166746,8.234095549905236,100.9212424634939,514,1.0,14,60047,71.26512752993926
67.80871627366675,54.73865034779888,7.221684513619797,100.96956886060674,522,1.0,15,64053,70.10825392520223
67.9165993175788,54.554568014906906,7.525138738851114,100.94148361574581,521,1.0,16,68058,70.22663244532764
67.69883046480851,54.59288811003248,7.13765757464885,92.06619092140251,523,1.0,17,72064,69.98951655710893
68.35028366301022,54.664814869670586,7.976765692854057,101.27428863191999,518,1.0,18,76070,70.69539409370766
