Evaluation/AverageReturn,Evaluation/NumEpisodes,Evaluation/StdReturn,Evaluation/Iteration,Evaluation/AverageDiscountedReturn,TotalEnvSteps,Evaluation/MinReturn,Evaluation/MaxReturn,Evaluation/TerminationRate
48.84925927066255,742,15.741293402665308,0,47.67842741674364,4004,26.810237817421488,119.97680994388926,1.0
52.22254328230433,695,16.713912006394892,1,50.87211484019119,8007,26.78010879721763,120.07548542216031,1.0
54.3349445649073,669,18.88107513461925,2,52.83770487345178,12011,26.792103361061507,129.05922242144,1.0
57.30656744126601,635,18.70748642422864,3,55.65233597648525,16017,26.80629458772289,138.2829807671342,1.0
60.70540038535831,600,20.337623831216405,4,58.825333094196985,20021,26.866039239307547,147.81977069452745,1.0
63.53305181597292,574,21.880197720630935,5,61.451314537991045,24024,26.9049275767848,175.0744248815271,1.0
65.70714980919647,555,21.045339505088528,6,63.506368310449446,28025,35.298818950092425,147.98695487403654,1.0
68.60068595062073,532,22.458642127720832,7,66.18130216821442,32025,26.79708981631456,185.0849582267931,1.0
68.72944962457818,531,23.583280499000253,8,66.2764815937906,36025,26.805940294673448,202.67329599323898,1.0
70.61302966836631,518,23.94791730169039,9,68.02301006141525,40032,26.82496604543367,201.4072939071535,1.0
