Evaluation/NumEpisodes,Evaluation/AverageDiscountedReturn,Evaluation/MaxReturn,Evaluation/AverageReturn,Evaluation/TerminationRate,Evaluation/MinReturn,TotalEnvSteps,Evaluation/Iteration,Evaluation/StdReturn
743,47.63031863437397,128.80720212703375,48.794895116663476,1.0,26.830371039905902,4004,0,15.525849352300849
723,48.898756325442136,129.05612567086996,50.13277142922844,1.0,26.806092525492176,8006,1,15.866309041830633
668,52.884974444325444,165.99119394400108,54.396453617130206,1.0,26.77158416319441,12010,2,19.461945695207913
632,55.90221967099827,138.80475431480428,57.579327084749416,1.0,26.778169255683284,16015,3,19.109414048849693
604,58.4108875857033,156.66869552400505,60.258407258885526,1.0,26.874951377206898,20018,4,20.000284369899077
572,61.60236538082554,201.1934518451837,63.71884555882049,1.0,26.81753847173428,24018,5,22.94093897995174
549,64.22787444369672,157.00169299366678,66.48255647407596,1.0,26.77440957154775,28021,6,21.251181751428383
510,69.01613255830165,194.3200289680403,71.68546500828396,1.0,35.48548845902114,32025,7,24.18822719036175
512,68.75358638759616,176.077466016274,71.35291743909923,1.0,26.919998900588663,36025,8,22.13371047635782
501,70.24095569906575,166.06090054024958,72.98059774844614,1.0,26.86771532680342,40028,9,23.27110878547071
490,71.88711545067021,183.9738371437079,74.76764116046341,1.0,35.46937955479572,44036,10,23.79702698361612
474,74.14667029477347,175.9803490510827,77.20225319325917,1.0,35.61748913669627,48036,11,23.64079223148177
468,75.17158538955557,202.88567997940817,78.34051838890383,1.0,35.63262971714788,52042,12,24.78541036378327
450,77.94283257462213,250.40182764511624,81.48394048325267,1.0,26.954674290657515,56044,13,29.6996330861888
452,77.75733735632627,222.46863779463433,81.1624080828184,1.0,35.67125838706414,60048,14,25.571262356888603
440,79.7921738727676,221.45181940107392,83.38127410423122,1.0,35.5023566248989,64052,15,25.778721381289596
426,82.23954275543912,240.65821821285934,86.1032786704418,1.0,35.537863765086215,68052,16,27.732552585058375
410,85.34069773539674,240.50220313068314,89.56161919613244,1.0,35.70503428605912,72053,17,29.980383167162557
