Evaluation/Iteration,Evaluation/StdReturn,Evaluation/AverageReturn,TotalEnvSteps,Evaluation/TerminationRate,Evaluation/AverageDiscountedReturn,Evaluation/MaxReturn,Evaluation/MinReturn,Evaluation/NumEpisodes
0,14.744733119249949,48.6379089294066,4004,1.0,47.491905974441686,119.79819163737545,26.756027101477493,745
1,17.27529465593532,51.47205010037403,8006,1.0,50.1498883375356,138.6022230369971,26.800866332535573,705
2,18.29246682803662,53.996963802052,12010,1.0,52.52790514086999,119.41891834475697,26.799892771184098,673
3,19.62031241083722,57.47662590262699,16013,1.0,55.795838981615866,147.2021744202514,26.7850684810629,633
4,20.308117236959827,60.07279498327307,20021,1.0,58.230916267361344,175.78526599091103,26.83132749701923,607
5,20.56612953461191,62.03330714010305,24021,1.0,60.069915155525926,156.70730666689272,26.808741830192044,587
6,21.662459978815242,66.80595436252179,28022,1.0,64.52188385958861,165.5450212270398,26.905914878416226,546
7,23.757609655967425,69.64076506062935,32035,1.0,67.12205262188789,166.16562422265432,26.792981196834788,526
8,23.453370035431032,71.52307488994003,36038,1.0,68.88217478670501,194.2769916627904,26.91131300681863,511
9,23.87333325209813,72.22471101076857,40039,1.0,69.52543242633757,203.82761208925848,26.91406209407151,506
10,23.47257716636317,73.25045944055627,44047,1.0,70.48773969811354,185.16521914477926,26.863732113799266,500
11,23.71984736307399,76.28156961562763,48051,1.0,73.2935208865913,193.0919563327396,35.42329599931699,480
12,27.57806164640074,79.25180016828307,52052,1.0,75.94148690158124,193.91653552984073,35.50988276727672,462
13,27.109598598527626,82.09413774431596,56058,1.0,78.57421230930802,194.50565907437905,26.950483148748482,447
14,27.543467280459218,84.61105500579347,60074,1.0,80.87552292868438,222.60302670274075,35.29370638395754,435
15,25.191735962447233,84.52355682558934,64086,1.0,80.85427493113309,185.18020123087825,35.83421400564392,435
16,28.957732778061608,87.1452674968842,68087,1.0,83.1593435354723,221.16146180889405,35.54284334678238,421
17,28.978524832151706,88.99870514022854,72093,1.0,84.85421063142425,238.45053354397248,35.597673634787895,413
18,27.60979737661615,87.3869816310613,76093,1.0,83.41967713834862,231.48248578454474,35.48532093430563,420
19,30.734248650505062,90.06853731535321,80097,1.0,85.78137892471436,230.96226224090586,35.62839641381183,408
20,27.63714552924079,89.08446378755893,84106,1.0,84.96836408990058,231.76104376290928,35.52573660635082,413
21,30.442414845899705,90.81138390293911,88111,1.0,86.46734303324257,240.8665704515453,35.38415930874249,405
22,30.96372939813828,93.27692403085227,92113,1.0,88.69613029798194,240.35630649420767,35.8090775836168,394
23,30.025667618080792,90.89102749823978,96122,1.0,86.55082458003297,222.6963909255855,35.69702476716023,405
24,27.483102170413378,89.37517635587136,100125,1.0,85.23867982039512,249.1757038970473,36.10950158296163,411
25,27.449378512878713,93.17709809683679,104132,1.0,88.70349434112899,249.62126614162926,35.84675030229953,395
26,29.768590089614893,93.96516975931644,108142,1.0,89.35672879605706,268.08364574871206,36.19878933720769,392
27,28.63592917466467,94.42575593890916,112151,1.0,89.80488126418628,229.67658267458103,44.63082329389573,390
28,27.84426745203796,92.59744786618933,116162,1.0,88.16757844257161,241.05877289486207,35.92359744023267,398
29,30.080321852732947,96.43096734677759,120170,1.0,91.5838964937922,213.24154267298286,45.1239241196636,382
30,28.996882511226644,95.11400016917798,124175,1.0,90.42151989009976,221.0113870415572,35.91589781626893,387
31,32.065753366765755,96.6126043266678,128180,1.0,91.69128348429602,231.8084202683743,44.841687346167035,381
