Evaluation/TerminationRate,TotalEnvSteps,Evaluation/AverageDiscountedReturn,Evaluation/Iteration,Evaluation/StdReturn,Evaluation/NumEpisodes,Evaluation/AverageReturn,Evaluation/MaxReturn,Evaluation/MinReturn
1.0,4003,48.18863442892383,0,16.037740486222578,734,49.38937532001988,137.87159282447286,26.798708288023057
1.0,8003,50.19160912576464,1,16.776627533838592,704,51.507491194469736,138.43819433698576,26.825372013791217
1.0,12005,52.41126073554142,2,19.114776415002318,674,53.889726430343956,157.0538557622495,26.733414616929846
1.0,16005,55.9823316548665,3,19.944952230016607,630,57.68122528221794,166.23546998251686,26.838189049446754
1.0,20007,57.21819242151886,4,19.732044263024164,617,58.98625271055128,148.0312657550737,26.848846254409956
1.0,24013,59.25813089796151,5,20.627755848457717,596,61.17118372325622,156.09644519365287,26.826662354693678
1.0,28015,63.05316049556124,6,22.556858624752234,559,65.25643114436332,239.27438759712666,26.842111025630636
1.0,32019,65.99725183342666,7,23.3359070397783,534,68.42493702688337,156.23348643248775,26.780015343943983
1.0,36022,67.72523250376649,8,22.96418542287259,520,70.2688331210756,182.68632199059346,26.85953783759904
1.0,40030,68.82985298493108,9,24.893422559745698,512,71.5018054831925,231.62490779033487,26.994970051572267
1.0,44035,71.6987239220428,10,24.065349547890868,491,74.57041720964841,166.38593567420025,35.410122260289405
1.0,48040,74.64937201079331,11,23.934819972848846,471,77.7537770732304,184.9926639154955,35.567424956813056
1.0,52044,76.0854472969587,12,25.135829008723096,462,79.33978053857794,212.61174452351287,26.870988171212836
1.0,56047,77.19341487297393,13,26.768018779695968,455,80.58375938834023,230.89283410730738,35.54561842038852
1.0,60048,79.55747654539363,14,26.219495072833812,441,83.13697149923652,258.83211764652555,26.984423638624
1.0,64051,80.11291149450001,15,27.24962572640313,438,83.77175098543303,231.81001264865708,35.61119395168457
1.0,68053,80.26677166900494,16,26.28989651542737,437,83.91221739095506,240.7363308299232,35.466384736580835
1.0,72062,83.77070794069122,17,26.85113470385834,419,87.75239051612792,222.01192921621782,35.67860408387393
1.0,76070,82.51216104650202,18,23.761631389243274,426,86.29330770448367,175.41643330934085,35.6216193411767
1.0,80079,85.18070459616337,19,26.464135099662276,412,89.28432251492929,212.7101249337588,35.781125901208924
1.0,84085,87.32809237535393,20,28.764307753479347,401,91.70679770820873,211.18939713488072,35.928894595857884
1.0,88085,87.3675633892549,21,30.432243623619144,400,91.8001605260656,240.08900227821474,35.60022197841472
1.0,92094,88.39882179145702,22,30.45646158840511,396,92.93450643879017,258.67402470848623,35.78456136185223
1.0,96100,86.69154843935014,23,29.639051474051314,404,91.03445295689859,203.6384839427244,35.409686286831146
1.0,100105,89.06275020308996,24,28.651587877073467,393,93.60632110704807,268.63156792954067,44.52548002288325
1.0,104108,90.1915517529464,25,33.57573260447454,387,95.00861045013357,296.29629402967413,35.93091841878677
1.0,108115,91.2138757280258,26,32.10527862297426,383,96.09071965746796,248.0659654827116,45.11674406153141
1.0,112120,88.61053415666814,27,28.91613543759322,395,93.11973035257182,212.81738543565345,35.47866173062326
1.0,116124,91.70994279982224,28,30.685515162290297,381,96.58684613402673,259.2885918425499,54.171736810174835
1.0,120128,92.19019472097037,29,29.86457159799482,379,97.09353488896804,241.0714472717747,44.81995504514983
1.0,124137,91.62058777355807,30,29.621090820219607,382,96.4566477246078,239.7718594929965,35.92612660673574
1.0,128147,90.34254146459118,31,28.375130778499745,388,95.00580855762455,231.4759134544393,54.34804318791252
1.0,132150,90.32380424405441,32,29.621734672914553,387,95.02642418110429,240.17900765923798,44.6881357584108
1.0,136154,94.48621486152831,33,33.384975609744245,369,99.74844605164488,240.23865368009794,54.253345239543734
1.0,140154,92.54200449137372,34,31.89724887479608,377,97.5422670208398,287.3384470963981,54.3601349842172
1.0,144161,91.36446652208903,35,29.722491029087564,383,96.17528076253261,268.3160435428428,54.18435437182566
1.0,148164,92.67414733499298,36,29.24474126922772,377,97.60888418332908,212.35589850293465,44.8521417654363
1.0,152172,93.000303184463,37,29.562263298047885,376,97.97799943741515,221.8697621956169,54.108822882839796
1.0,156173,95.4466026118551,38,32.63664792188923,365,100.7876566626783,250.32021566395954,54.14577414355664
1.0,160174,91.52265467409876,39,27.903019082825296,382,96.29472285777017,231.94941561203882,53.871251684996174
1.0,164184,91.95219224548977,40,28.232623982483183,381,96.77906426064884,231.65893792271936,54.27092081029575
1.0,168188,92.46938372719305,41,29.238014456326304,378,97.38149873286206,240.792261874654,44.663927390632445
1.0,172200,95.70519895343102,42,33.320959085934525,365,101.09702363858165,267.21647244070715,44.81509607440459
1.0,176207,93.4305372268508,43,30.602523791519975,374,98.48778972166689,240.57690887806143,35.60249431291991
1.0,180209,91.01130664730043,44,29.085328019631746,384,95.76835086986763,203.5264061634233,53.79546133208217
1.0,184209,93.02518358616616,45,31.92843459116611,375,98.08094721245565,249.3775952873972,44.54538430050773
1.0,188221,92.52530285696237,46,32.293383902987344,378,97.5436484194604,248.99827031700733,35.919417447938415
1.0,192223,93.32977381220141,47,29.801970034939124,374,98.35198894258855,212.99043575782548,45.08565425636482
1.0,196231,91.79396537321581,48,31.0903000847628,381,96.6921235720236,267.9248438019343,44.84291443833595
1.0,200233,93.93114745883193,49,33.48986884447099,371,99.14070280938904,239.7343820766847,44.936101996683355
1.0,204243,92.0455009698436,50,32.35814264818463,380,97.01040367689077,296.97920972477345,45.10474613002705
1.0,208243,90.60159951210564,51,27.308351709001215,386,95.2622182781202,222.28345138271294,45.15028744241296
1.0,212258,94.66763477016697,52,28.90505729904494,370,99.80287971344585,229.98320344917585,45.213415479682965
1.0,216259,93.96833613285858,53,31.614956781625015,371,99.11584772094166,259.55710866607296,54.320583966396065
1.0,220263,93.14932495595546,54,30.073945466249395,375,98.1595621877675,211.5981049666817,54.02909829931087
1.0,224268,95.08520597789646,55,32.14022275874544,367,100.36514601125998,342.267510069435,44.54701230999547
1.0,228279,94.97016936619269,56,31.196448536896245,368,100.2127567447689,239.69303330145644,54.54421417759411
1.0,232279,94.27073065719111,57,30.767572278467462,370,99.42077905834836,241.06115902206736,45.248004159364335
1.0,236280,96.91577030728565,58,35.03746272254953,359,102.4961763108075,351.8077779420644,54.44330433492634
1.0,240286,97.28240555230106,59,35.24171180263612,358,102.915143181802,315.35209121566004,45.022347538649264
1.0,244293,93.45823894181271,60,29.956854161004447,374,98.49729506704122,220.8851581121373,53.722025022599674
1.0,248297,96.24386597330506,61,32.96388486214163,362,101.68551741439767,266.8550089301338,44.81040933431978
1.0,252318,96.23189686418634,62,31.18032028772768,364,101.60900018342271,231.32192140292224,44.940326735615926
1.0,256325,94.69045127249451,63,29.8525085810591,369,99.85739736189694,250.19716281094892,54.78364483899371
1.0,260333,98.40237243258194,64,34.30334920543555,354,104.13208237141838,248.82794902896507,36.06641966697646
1.0,264337,96.54933879128565,65,32.32473024610274,361,102.00059894688698,250.3434538633453,45.083510351739314
1.0,268348,98.0170421825724,66,31.491136689510867,356,103.60674921040858,221.69003038420598,63.36280731486908
1.0,272350,97.45938062957222,67,33.82005400651175,357,103.06323872508689,287.0915593836583,62.22077138867742
1.0,276360,99.14235012430481,68,36.46060651053984,351,105.03622883599415,267.5644736774272,54.156152817949504
1.0,280362,98.81462324341683,69,34.19262460512355,352,104.5844840423178,249.18640117410888,63.84460955741568
1.0,284370,99.71266895704768,70,34.827923866816526,349,105.61157525214385,239.14542356893728,54.71408116141186
1.0,288372,98.75696466454586,71,34.86633591154099,352,104.54783993751977,231.46176742187754,44.92099699500416
1.0,292372,99.61348302010731,72,39.06715789596393,348,105.66462908158894,268.81045248403166,53.96796056611203
1.0,296372,102.06588353687877,73,41.449273923992195,339,108.49932960622908,342.3252321467665,54.503397665788476
1.0,300373,97.39762844429863,74,34.22641531517973,357,103.0108251398939,296.26684319620074,63.49219507493066
1.0,304374,96.11133403695668,75,34.96312760629308,362,101.60553467792968,258.1968153820355,44.903155749695834
1.0,308382,100.69640042819475,76,38.47038382104,345,106.8463592706865,277.8747805683077,44.86701036420399
1.0,312392,96.56377111376358,77,34.853317891783675,361,102.106752387979,278.23881175204036,44.66501995168236
1.0,316402,99.4653059305579,78,34.92243722970838,350,105.33440438699172,304.42166023684763,63.46969448840724
1.0,320404,100.26492150200359,79,37.4009580670509,346,106.32216298692325,350.9547762615663,44.58079618906875
1.0,324410,99.23799318540537,80,35.76842112354033,350,105.12282819413717,286.2102995558696,36.00159968719032
1.0,328415,98.60466447179027,81,33.51396509534702,353,104.32864208155286,257.7699946673673,54.2800924942457
1.0,332430,99.33078332815532,82,35.46569336160882,351,105.2063430642591,285.57763760498517,54.736252962957295
1.0,336439,98.41021553822891,83,34.089850096433835,354,104.13094010984804,276.57403120132113,54.24796421206631
1.0,340442,100.4146502171444,84,34.916085849952694,346,106.39768780700221,267.9173346243689,54.90475827980159
1.0,344443,97.19486360367172,85,33.49612626160533,358,102.75933223165897,248.29450000656647,64.03964191265955
1.0,348443,100.04937660123392,86,34.85181574143334,347,105.98853551369855,249.02215922524033,63.44385163626977
1.0,352448,101.01770011726225,87,35.25468582760529,344,107.07984753129278,268.1827778919488,63.582045255742294
1.0,356454,96.14657530755532,88,30.483899587067153,363,101.49368927297766,219.26607070551665,54.49866598771736
1.0,360456,99.14229751522308,89,31.39708185743681,351,104.85510287005111,239.11209430452828,63.80764809704148
1.0,364462,99.6963819484576,90,34.10984077960603,349,105.56587217187108,275.4196486903041,54.59920050622508
1.0,368467,101.8685037238143,91,36.093112054025475,341,108.06288675984986,249.04838695983287,63.64862970249688
1.0,372475,98.73168941379396,92,38.69920212832089,352,104.66613228800203,287.4758626649565,54.523311773246064
1.0,376484,98.43007605190557,93,33.7242567895284,354,104.14143356506497,249.4462022607781,54.752048476476176
1.0,380491,101.3441374491811,94,42.17832568267546,342,107.72194301213729,339.2692529708105,63.71443510462602
1.0,384493,100.60543858276037,95,37.145909758140036,345,106.69102664426573,305.75295246112285,63.70259417971112
1.0,388501,99.7610789462388,96,32.70461938987554,349,105.59057060118879,258.0262376570777,63.626198090456434
1.0,392512,98.6750552403919,97,35.44571823482427,353,104.47812479311743,247.39030637702115,63.1793779458759
1.0,396514,100.04326335926987,98,37.077067279650684,347,106.06247593085774,268.1040134637417,63.324536456338414
1.0,400517,102.92563459643712,99,35.68800235999628,337,109.23282035722677,239.4981100871008,63.68242278598156
1.0,404519,100.63722467975049,100,34.854674394409045,345,106.64545077847227,240.42608065378442,54.83033258615651
1.0,408528,98.44906334228175,101,33.01986193287069,354,104.1348727291059,304.8717472513045,63.77408534294273
1.0,412534,100.71158668619837,102,36.692200735097494,345,106.79333247831374,296.2331089408755,63.886152732291045
