TotalEnvSteps,Evaluation/MaxReturn,Evaluation/TerminationRate,Evaluation/NumEpisodes,Evaluation/StdReturn,Evaluation/AverageDiscountedReturn,Evaluation/MinReturn,Evaluation/Iteration,Evaluation/AverageReturn
4005,148.07765484761623,1.0,740,15.560164200446497,47.81757411792571,26.756843064046535,0,48.992145354888514
8010,154.79245277500405,1.0,691,17.03641544753119,51.19071604760227,26.80307315120831,1,52.56374344191892
12010,148.1564582381257,1.0,677,17.54077465893892,52.176184293102274,26.780718297127088,2,53.61130384430374
16013,138.4363541457811,1.0,672,17.411823588257807,52.605267002140145,26.815677331729177,3,54.06168264615179
20014,184.80699214859163,1.0,658,18.58391397297535,53.67520662949283,26.8357958260224,4,55.2131388927004
24016,175.31284185387275,1.0,646,19.628649971538305,54.65459938053784,26.772507368300097,5,56.26941906809596
28020,175.6518183522509,1.0,648,18.87836092700698,54.516070584367824,26.810076187276998,6,56.107739512005445
32020,129.046007419721,1.0,637,19.170891173350686,55.41055191460786,26.812523567719683,7,57.05958906822962
36028,147.35032962453482,1.0,654,18.1690414120954,54.093149563141544,26.774399855085868,8,55.64726465468508
40031,128.8020598774831,1.0,632,19.162142073571776,55.883843094921296,26.76227632387529,9,57.56073097763279
44036,183.4973825228914,1.0,626,20.71389554648801,56.406692291969065,26.767044766748434,10,58.14702373644501
48045,156.78613848766656,1.0,635,19.47885020943334,55.67366475253041,26.794308824078367,11,57.345238800885824
52046,202.10278586347943,1.0,614,21.61653171934247,57.42917929660926,26.806902880077924,12,59.25111591700358
56048,202.6405186074823,1.0,596,21.348234152169745,59.185882650119666,26.74842432512198,13,61.109098877785954
60055,256.89062355258886,1.0,593,21.95582783708262,59.52899810454873,26.888441911137072,14,61.48797178049759
64055,129.7118544190314,1.0,594,19.685531622665977,59.35556376633491,26.825337812365106,15,61.255414362300236
68060,166.1270851003475,1.0,579,21.924059576736873,60.950284273886616,26.830098542230818,16,63.000450587535916
72061,184.7752984063779,1.0,560,23.488666162853484,62.87221375443681,26.83085918207881,17,65.0877824683319
76067,174.90364717650183,1.0,561,22.303146683209306,62.87301580025349,26.853848983198972,18,65.05909596969094
80075,175.9047031204718,1.0,568,20.802175831415884,62.176888074557674,26.914260323475737,19,64.2828138866737
84078,175.8321977845964,1.0,539,22.539505634121557,65.37641537727919,26.787656993877874,20,67.74059494619028
88084,185.45726680765503,1.0,536,22.610127041837348,65.78251019202575,26.885658353586315,21,68.17709070180464
92088,249.87402670107357,1.0,530,25.003494988465622,66.43738060125764,26.892511278336954,22,68.93730352564522
96093,166.86659596602766,1.0,532,21.85888464275682,66.30300392839845,26.897253901499894,23,68.71654382796824
100095,202.35430892795247,1.0,519,23.989730639457107,67.81565142550251,26.93205093606837,24,70.39083866501461
104096,221.5463860806974,1.0,495,24.114050941771364,71.05595256897486,26.910463998076928,25,73.87785134987631
108099,166.4250258464137,1.0,506,23.63189064966556,69.58450262458817,35.30550057757945,26,72.28234608950716
112103,174.3921177501294,1.0,484,23.412028089502556,72.67687801528612,35.37259807436181,27,75.60931861860898
116105,203.5047891919928,1.0,485,25.212866922361528,72.49493332586108,26.89171553065315,28,75.45839368985288
120109,184.58232282898328,1.0,481,25.148388656662416,73.1269360585561,35.54261218256644,29,76.13864300769286
124113,185.11130371704968,1.0,473,25.242018396595174,74.35890406851195,35.52316248420114,30,77.47216147061022
128119,275.92234707279016,1.0,471,26.526860108964495,74.65820939349786,26.942207024813307,31,77.82761741848844
132120,203.74510565289413,1.0,460,25.779429888424914,76.34263406761279,35.586116997506146,32,79.63456634499398
136121,230.7678987836761,1.0,459,26.2040626747116,76.49391995690615,35.643618619212106,33,79.81079513037353
140126,212.55255404956074,1.0,451,27.742642943579142,77.81984806714969,26.928242526613545,34,81.29406555607065
144130,258.3305066429935,1.0,454,27.055789660135204,77.33783504761443,26.87525814784547,35,80.74948889933444
148137,202.392337903668,1.0,446,27.98841800869366,78.7217672841628,26.857122087571874,36,82.28217123346202
152146,203.7544968781871,1.0,439,26.474615767525457,80.04786557186165,35.52611297514098,37,83.67877362220484
156149,240.28543073048104,1.0,453,25.965094784017513,77.54264828049108,35.49024164888721,38,80.94010173097044
160152,202.63457927300783,1.0,431,26.396364050567716,81.37241627756218,35.50202759760151,39,85.12056915550048
164152,231.62636109551272,1.0,431,27.57471539049346,81.31915662483806,35.4997851360418,40,85.09465109275799
168152,240.58040263695318,1.0,425,28.03442747128553,82.41502480503569,35.723914496455194,41,86.30361222360361
